x,y,d/dx,d/dy
-8.000000E-01,1.000000E+00,-7.577499E+09,1.227192E+10
-8.000000E-01,1.120000E+00,-8.999070E+09,1.557088E+10
-8.000000E-01,1.240000E+00,-1.010519E+10,1.879144E+10
-8.000000E-01,1.360000E+00,-1.096815E+10,2.192700E+10
-6.799999E-01,-1.280000E+00,-8.261362E+09,-1.563589E+10
-6.799999E-01,-1.160000E+00,-7.203042E+09,-1.207183E+10
-6.799999E-01,-1.040000E+00,-5.794386E+09,-8.360167E+09
-6.799999E-01,-9.200000E-01,-3.904760E+09,-4.529933E+09
-6.799999E-01,-8.000000E-01,-1.363257E+09,-6.642938E+08
-6.799999E-01,-6.799999E-01,2.031644E+09,3.060420E+09
-6.799999E-01,-5.599999E-01,6.457865E+09,6.328106E+09
-6.799999E-01,-4.399999E-01,1.191382E+10,8.644521E+09
-6.799999E-01,-3.199999E-01,1.790929E+10,9.290198E+09
-6.799999E-01,-1.999999E-01,2.316129E+10,7.125795E+09
-6.799999E-01,-7.999992E-02,2.611069E+10,1.218478E+09
-6.799999E-01,4.000008E-02,2.649486E+10,-5.546490E+09
-6.799999E-01,1.600001E-01,2.445177E+10,-8.953352E+09
-6.799999E-01,2.800001E-01,1.982756E+10,-9.090065E+09
-6.799999E-01,4.000001E-01,1.389827E+10,-7.235905E+09
-6.799999E-01,5.200001E-01,8.172432E+09,-4.220943E+09
-6.799999E-01,6.400001E-01,3.386557E+09,-6.052255E+08
-6.799999E-01,7.600000E-01,-3.366669E+08,3.238976E+09
-6.799999E-01,8.800001E-01,-3.139635E+09,7.093906E+09
-6.799999E-01,1.000000E+00,-5.225559E+09,1.085035E+10
-6.799999E-01,1.120000E+00,-6.778061E+09,1.446475E+10
-6.799999E-01,1.240000E+00,-7.941027E+09,1.792848E+10
-6.799999E-01,1.360000E+00,-8.820514E+09,2.125005E+10
-5.599999E-01,-1.280000E+00,-6.272057E+09,-1.457757E+10
-5.599999E-01,-1.160000E+00,-5.228301E+09,-1.066317E+10
-5.599999E-01,-1.040000E+00,-3.787398E+09,-6.470541E+09
-5.599999E-01,-9.200000E-01,-1.763085E+09,-1.988431E+09
-5.599999E-01,-8.000000E-01,1.125733E+09,2.730608E+09
-5.599999E-01,-6.799999E-01,5.292535E+09,7.486641E+09
-5.599999E-01,-5.599999E-01,1.129764E+10,1.178406E+10
-5.599999E-01,-4.399999E-01,1.974277E+10,1.463999E+10
-5.599999E-01,-3.199999E-01,3.079982E+10,1.454220E+10
-5.599999E-01,-1.999999E-01,4.308958E+10,1.007519E+10
-5.599999E-01,-7.999992E-02,5.255610E+10,1.602650E+09
-5.599999E-01,4.000008E-02,5.414062E+10,-7.589578E+09
-5.599999E-01,1.600001E-01,4.683027E+10,-1.357756E+10
-5.599999E-01,2.800001E-01,3.490110E+10,-1.501936E+10
-5.599999E-01,4.000001E-01,2.316006E+10,-1.296174E+10
-5.599999E-01,5.200001E-01,1.381660E+10,-9.006818E+09
-5.599999E-01,6.400001E-01,7.058839E+09,-4.328450E+09
-5.599999E-01,7.600000E-01,2.347886E+09,4.360278E+08
-5.599999E-01,8.800001E-01,-9.135405E+08,5.007982E+09
-5.599999E-01,1.000000E+00,-3.189027E+09,9.297828E+09
-5.599999E-01,1.120000E+00,-4.799763E+09,1.330179E+10
-5.599999E-01,1.240000E+00,-5.959650E+09,1.704897E+10
-5.599999E-01,1.360000E+00,-6.809810E+09,2.057747E+10
-4.399999E-01,-1.280000E+00,-4.468699E+09,-1.353381E+10
